PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
12;60;4535.84;5847.59;"1";118;0;199.63;11695.18;11495.55;0;7057.88;5746.21;"1";"+";10;2;0;60;38;61;37;65;1010.66;199.63;0;5847.59;3522.30;5717.39;3514.01;3731.29
13;69;5503.44;6765.53;"1";112;0;2698.91;13531.06;10832.15;0;10493.18;5846.72;"1";"+";13;20;6;69;75;135;69;32;1335.93;2067.81;631.10;6765.53;6982.49;12565.08;6602.58;2790.83
14;57;4546.32;5591.06;"1";96;0;1813.90;11182.12;9368.22;0;8407.93;4737.64;"1";"+";12;17;1;57;48;62;48;13;1213.51;1707.94;105.96;5591.06;4510.94;5817.90;4539.87;1061.94
15;36;2692.66;3542.26;"1";56;0;1644.95;7084.52;5439.57;0;5698.08;3152.15;"1";"+";5;9;7;36;76;44;30;15;510.87;911.19;733.76;3542.26;6765.54;4137.35;2863;1259.49
16;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;12;15;15;15;0;0;0;0;1030.50;1276.70;1191.93;1294.16
17;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;28;29;34;21;0;0;0;0;2403.35;2512.92;2727.66;1799.70
18;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;2;7;10;5;0;0;0;0;167.94;597.88;790.46;438.20
19;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;12;14;13;14;0;0;0;0;1029.55;1202.66;1065.89;1199.82
20;11;682.66;989.96;"3";0;12;2429.14;1979.92;0;449.22;3053.69;1102.27;"3";"-";0;27;7;11;0;46;13;14;0;1856.84;572.30;989.96;0;3527.48;1011.78;1060.19
21;20;1241.20;1763.41;"3";0;69;7786.26;3526.82;0;4259.44;8900.07;2828.27;"3";"-";0;65;44;20;0;46;64;24;0;4576.78;3209.48;1763.41;0;3508.02;4866.99;1807.87
22;8;496.48;716.06;"3";0;5;1600.47;1432.12;0;168.35;1970.11;766.55;"3";"+";0;9;12;8;0;29;28;24;0;598.27;1002.20;716.06;0;2204.71;2151.04;1831.87
23;109;6227.23;10012.15;"3";0;80;26985.93;20024.30;0;6961.63;38034.41;12113.43;"3";"-";142;120;178;109;284;194;205;167;13556.90;11105.81;15880.12;10012.15;24386.15;17089.33;17548.75;13933.82
24;46;2602.84;4258.35;"3";0;71;14812.79;8516.70;0;6296.09;21761.73;6101.19;"3";"-";76;67;96;46;172;90;82;102;7176.48;6227.10;8585.69;4258.35;14814.36;8047.38;7131.82;8528.62
25;27;1273.41;2499.96;"3";0;131;16847.81;4999.92;0;11847.89;22324.92;6124.82;"3";"-";91;71;114;27;194;84;85;103;8776.36;6658.81;10189;2499.96;16796.36;7452.53;7323.91;8541.32
26;2;139.94;180.21;"3";0;102;9466.93;360.42;0;9106.51;14812.11;3561.96;"3";"-";84;40;66;2;190;78;110;115;7982.44;3657.81;5809.12;180.21;16488.94;6976.19;9527.47;9567.77
