IDCLI;IDVENDEDOR;QCLIPOSIT;QCLICAD;FVAL3;FVAL;FCREDDEVOL;FVALDEV;QPEDIDOS;LUCRO;FVALPROD;FDESCONTO;QCLIVISIT;QTDPROD;QC_AMAIS;QC_AMENOS;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
1;53;1;1;0;190.36;0;0;1;190.36;188.860;0;0;77;0;1;76;1;1402.50;380.72;0;1021.78;594.41;594.41;"3";"-";0;0;0;0;0;0;0;0;0;1402.50;0;190.36;789.10;2285.60;4864.90;2095
3;2;1;1;1353.45;996.40;0;0;2;171.43;996.400;0;0;17;0;1;8;9;2388;1992.80;0;395.20;1460.27;1460.27;"3";"-";0;0;0;0;0;0;0;0;0;2388;0;996.40;0;0;2561.20;0
5;53;1;1;0;889.72;0;0;1;889.72;885.220;0;0;34;1;0;25;9;1336.90;1779.44;442.54;0;836.08;836.08;"1";"-";0;0;0;0;0;0;0;0;1064.07;715.70;621.20;889.72;2235;0;0;163.10
28;53;1;1;0;398.40;0;0;1;398.40;395.400;0;0;15;0;1;10;5;1779.50;796.80;0;982.70;628.84;628.84;"3";"-";0;0;0;0;0;0;0;0;567.92;633.60;1145.90;398.40;0;1024.80;1192.80;0
29;25;1;1;1213.03;1615.30;0;0;1;402.27;1613.800;0;0;40;1;0;37;3;0;3230.60;3230.60;0;2197.53;2197.53;"2";"-";0;0;0;0;0;0;0;0;3362;0;0;1615.30;1747.50;2722.20;3812.50;0
38;65;1;1;1331.74;1913.38;0;0;2;581.64;2025.940;112.560;0;87;1;0;85;2;0;3826.76;3826.76;0;2049.54;2049.54;"2";"+";0;0;0;0;0;0;0;0;1096.40;0;0;1913.38;3303;5882.77;2780.70;0
39;59;1;1;91.57;164.20;0;0;1;72.63;162.700;0;0;52;0;1;28;24;3056.45;328.40;0;2728.05;960.46;960.46;"3";"-";0;0;0;0;0;0;0;0;1417.46;1778.79;1277.66;164.20;647.70;659.60;1067.90;1349.60
50;59;1;1;72.24;100.30;0;0;1;28.06;98.800;0;0;26;0;1;15;11;1151.77;200.60;0;951.17;405.45;405.45;"3";"-";0;0;0;0;0;0;0;0;674.87;381.42;770.35;100.30;121;0;0;0
57;15;1;1;1304.04;2020.20;0;0;1;716.16;2015.700;0;0;65;0;1;53;12;4514;4040.40;0;473.60;3169.24;3169.24;"3";"-";0;0;0;0;0;0;0;0;7291.78;1176.90;3337.10;2020.20;615.50;1404.90;2218.50;0
65;53;1;1;0;202.35;0;0;1;202.35;200.850;0;0;36;0;1;36;0;4750.20;404.70;0;4345.50;1718.30;1718.30;"3";"-";0;0;0;0;0;0;0;0;0;0;4750.20;202.35;823.50;1833.90;4337.20;0
73;53;1;1;0;288.96;0;0;1;288.96;287.460;0;0;21;0;1;18;3;818;577.92;0;240.08;348.98;348.98;"3";"-";0;0;0;0;0;0;0;0;0;292.70;525.30;288.96;1060.50;0;205.70;723
81;53;1;1;0;775.60;0;0;2;775.60;769.600;0;0;52;0;1;32;20;2046;1551.20;0;494.80;911.75;911.75;"3";"-";0;0;0;0;0;0;0;0;961.53;1535.80;510.20;775.60;0;500.80;881.40;211.20
86;59;1;1;0;1142.40;0;0;2;1142.40;1139.400;0;0;76;0;1;53;23;7285.39;2284.80;0;5000.59;2517.18;2517.18;"3";"-";0;0;0;0;0;0;0;0;3015.70;2759.77;4525.62;1142.40;392.07;1494.90;145.10;3103.70
94;45;1;1;212.19;2626.32;0;0;5;2414.13;2605.320;0;0;46;1;0;35;11;2628.88;5252.64;2623.76;0;2420.42;2420.42;"1";"+";0;0;0;0;0;0;0;0;1851.44;1017.22;1611.66;2626.32;1178.60;1610.30;1564.10;1039.50
95;25;1;1;112.95;109.09;0;0;1;0;186.990;77.900;0;59;0;1;52;7;783;218.18;0;564.82;250.30;250.30;"3";"-";0;0;0;0;0;0;0;0;0;386.80;396.20;109.09;725.70;692.70;774.30;957.20
104;25;1;1;193.35;308.80;0;0;1;115.45;307.300;0;0;41;1;0;38;3;209.70;617.60;407.90;0;325.32;325.32;"1";"+";0;0;0;0;0;0;0;0;0;209.70;0;308.80;568.40;862.10;0;532.53
107;59;1;1;302.71;851.59;0;0;1;548.88;895.900;44.310;0;73;0;1;60;13;1710.27;1703.18;0;7.09;867.29;867.29;"3";"+";0;0;0;0;0;0;0;0;383.47;1068.46;641.81;851.59;0;1079;0;4504.44
111;59;1;1;0;590.30;0;0;1;590.30;587.300;0;0;47;1;0;43;4;920.64;1180.60;259.96;0;700.41;700.41;"1";"-";0;0;0;0;0;0;0;0;0;920.64;0;590.30;1442.20;1545.90;1928;0
123;59;1;1;6306.48;10723.21;0;0;2;4416.73;10711.210;0;0;75;1;0;54;21;12399.34;21446.42;9047.08;0;10050.48;10050.48;"1";"+";0;0;0;0;0;0;0;0;3864.02;7718.10;4681.24;10723.21;2844.60;5502;0;2325.30
136;45;1;1;0;2128.81;0;0;4;2128.81;2107.810;0;0;67;1;0;51;16;2937.77;4257.62;1319.85;0;2067.28;2067.28;"1";"+";0;0;0;0;0;0;0;0;1153.74;1429.28;1508.49;2128.81;756.70;1605.20;2187.40;1443.40
137;15;1;1;0;832.74;0;0;1;832.74;828.240;0;0;66;0;1;65;1;3047.30;1665.48;0;1381.82;1388.65;1388.65;"3";"-";0;0;0;0;0;0;0;0;841.80;0;3047.30;832.74;1395.20;619.80;2703.20;1356.40
139;53;1;1;0;1388.30;0;0;2;1388.30;1380.800;0;0;54;1;0;43;11;2365.62;2776.60;410.98;0;1372.06;1372.06;"1";"+";0;0;0;0;0;0;0;0;0;1247.79;1117.83;1388.30;4373.70;1598.30;1132.60;811.20
140;3;1;1;486.54;790.82;0;0;1;304.28;786.320;0;0;59;1;0;58;1;503.62;1581.64;1078.02;0;838.69;838.69;"1";"+";0;0;0;0;0;0;0;0;0;0;503.62;790.82;0;3226.80;2542.60;1328.70
145;45;1;1;0;1530.80;0;0;2;1530.80;1521.800;0;0;78;0;1;65;13;6801.15;3061.60;0;3739.55;2526.15;2526.15;"3";"-";0;0;0;0;0;0;0;0;2767.98;3844.36;2956.79;1530.80;10228.80;3790.70;6743.70;4027.80
146;45;1;1;87.81;155.70;0;0;1;67.89;154.200;0;0;35;0;1;30;5;2468.04;311.40;0;2156.64;829.41;829.41;"3";"-";0;0;0;0;0;0;0;0;538.20;0;2468.04;155.70;595.90;708.90;527.80;487.80
151;3;1;1;0;570.50;0;0;1;570.50;564.500;0;0;7;1;0;7;0;0;1141;1141;0;570.50;570.50;"2";"-";0;0;0;0;0;0;0;0;0;0;0;570.50;0;0;388.70;0
167;53;1;1;343.82;661.27;0;0;2;317.45;656.770;0;0;32;1;0;28;4;683.61;1322.54;638.93;0;638.97;638.97;"1";"+";0;0;0;0;0;0;0;0;0;431.01;252.60;661.27;107;386.90;0;486.10
171;54;1;1;0;458.91;0;0;1;458.91;454.410;0;0;23;0;1;21;2;3356.10;917.82;0;2438.28;894.98;894.98;"3";"-";0;0;0;0;0;0;0;0;201;1552.50;1803.60;458.91;0;0;0;0
184;25;1;1;1486.80;1797;0;0;1;310.20;1797;0;0;10;0;1;7;3;4706.60;3594;0;1112.60;2075.15;2075.15;"3";"-";0;0;0;0;0;0;0;0;0;2719.60;1987;1797;0;539.40;0;0
