IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
1;53;203;2;74.40;112.65;"2";4;0;0;225.30;225.30;0;112.65;112.65;"2";"-";0;0;0;2;0;0;0;0;0;0;0;112.65;0;0;0;0
1;53;227;1;14.99;25.91;"2";2;0;0;51.82;51.82;0;25.91;25.91;"2";"-";0;0;0;1;0;0;0;0;0;0;0;25.91;0;0;0;0
1;53;3013;1;14.99;25.90;"2";2;0;0;51.80;51.80;0;25.90;25.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;25.90;0;0;0;0
1;53;3014;1;14.99;25.90;"2";2;0;0;51.80;51.80;0;25.90;25.90;"2";"-";0;0;0;1;0;0;0;1;0;0;0;25.90;0;0;0;24.03
3;2;36;4;69.12;103.60;"2";8;0;0;207.20;207.20;0;103.60;103.60;"2";"-";0;0;0;4;0;0;0;0;0;0;0;103.60;0;0;0;0
3;2;37;9;159.57;233.10;"2";18;0;0;466.20;466.20;0;233.10;233.10;"2";"-";0;0;0;9;0;0;6;0;0;0;0;233.10;0;0;222.57;0
3;2;39;3;51.84;77.70;"2";6;0;0;155.40;155.40;0;77.70;77.70;"2";"-";0;0;0;3;0;0;6;0;0;0;0;77.70;0;0;222.56;0
3;2;40;4;66.04;103.60;"2";8;0;0;207.20;207.20;0;103.60;103.60;"2";"-";0;0;0;4;0;0;0;0;0;0;0;103.60;0;0;0;0
3;2;1094;8;503.44;239.20;"2";16;0;0;478.40;478.40;0;239.20;239.20;"2";"-";0;0;0;8;0;0;0;0;0;0;0;239.20;0;0;0;0
3;2;1095;8;503.44;239.20;"2";16;0;0;478.40;478.40;0;239.20;239.20;"2";"-";0;0;0;8;0;0;0;0;0;0;0;239.20;0;0;0;0
5;53;23;1;41.98;100.40;"1";1;0;100.53;200.80;100.27;0;100.45;100.45;"1";"-";1;1;0;1;3;0;0;0;100.47;100.53;0;100.40;261.70;0;0;0
5;53;25;1;41.98;100.40;"1";1;0;100.53;200.80;100.27;0;100.44;100.44;"1";"-";0;1;0;1;3;0;0;0;0;100.53;0;100.40;261.69;0;0;0
5;53;184;1;47.83;68.25;"1";1;0;68.98;136.50;67.52;0;68.49;68.49;"1";"-";0;0;1;1;1;0;0;0;0;0;68.98;68.25;68.32;0;0;0
5;53;371;2;52.40;76.19;"2";4;0;0;152.38;152.38;0;78.88;78.88;"2";"-";2;0;0;2;3;0;0;0;84.27;0;0;76.19;129.18;0;0;0
5;53;372;2;52.40;76.19;"2";4;0;0;152.38;152.38;0;78.88;78.88;"2";"-";2;0;0;2;0;0;0;0;84.27;0;0;76.19;0;0;0;0
5;53;374;2;52.40;76.18;"2";4;0;0;152.36;152.36;0;78.88;78.88;"2";"-";2;0;0;2;0;0;0;0;84.27;0;0;76.18;0;0;0;0
5;53;375;1;31.21;56.18;"2";2;0;0;112.36;112.36;0;56.18;56.18;"2";"-";0;0;0;1;0;0;0;0;0;0;0;56.18;0;0;0;0
5;53;649;4;125.20;196.52;"2";8;0;0;393.04;393.04;0;196.52;196.52;"2";"-";0;0;0;4;0;0;0;0;0;0;0;196.52;0;0;0;0
5;53;1155;1;31.32;47.14;"2";2;0;0;94.28;94.28;0;47.14;47.14;"2";"-";0;0;0;1;0;0;0;0;0;0;0;47.14;0;0;0;0
5;53;1156;2;60.10;92.27;"2";4;0;0;184.54;184.54;0;92.27;92.27;"2";"-";0;0;0;2;0;0;0;0;0;0;0;92.27;0;0;0;0
28;53;171;6;297.36;398.40;"1";6;0;422.40;796.80;374.40;0;406.40;406.40;"1";"-";0;6;0;6;0;12;6;0;0;422.40;0;398.40;0;1024.80;479.40;0
29;25;23;5;349.85;479.94;"2";10;0;0;959.88;959.88;0;510.89;510.89;"2";"+";3;0;0;5;0;0;4;0;294.23;0;0;479.94;0;0;360.74;0
29;25;171;15;743.40;959.40;"2";30;0;0;1918.80;1918.80;0;1106.43;1106.43;"2";"-";20;0;0;15;0;0;10;0;1400.49;0;0;959.40;0;0;801.53;0
29;25;1254;1;59.89;87.98;"2";2;0;0;175.96;175.96;0;87.98;87.98;"2";"-";0;0;0;1;0;0;0;0;0;0;0;87.98;0;0;0;0
29;25;1255;1;59.89;87.98;"2";2;0;0;175.96;175.96;0;87.98;87.98;"2";"-";0;0;0;1;0;0;0;0;0;0;0;87.98;0;0;0;0
38;65;15;2;159.52;188.48;"2";4;0;0;376.96;376.96;0;188.48;188.48;"2";"-";0;0;0;2;0;0;0;0;0;0;0;188.48;0;0;0;0
38;65;72;6;59.40;105.60;"2";12;0;0;211.20;211.20;0;105.60;105.60;"2";"-";0;0;0;6;0;0;0;0;0;0;0;105.60;0;0;0;0
38;65;175;6;137.34;225.83;"2";12;0;0;451.66;451.66;0;225.83;225.83;"2";"-";0;0;0;6;0;0;0;0;0;0;0;225.83;0;0;0;0
