FLOJA;IDPEDIDO;IDCLI;FVENDEDOR;FDATAEMI;HORA;FVAL
1;"L1V20080C2935";2935;3;12/02/2024;"09:30";7873
1;"L1P20079C1298";1298;13;12/02/2024;"15:15";2228.41
1;"L1V20081C2627";2627;54;12/02/2024;"15:32";238.60
1;"L1V20086C440";440;45;12/02/2024;"16:08";453.40
1;"L1P20083C812";812;25;12/02/2024;"16:09";595.90
1;"L1V20092C2937";2937;3;12/02/2024;"16:46";906.70
1;"L1V20087C3032";3032;45;12/02/2024;"16:48";728.78
1;"L1V19765C215";215;54;12/02/2024;"16:49";389.40
1;"L1P20085C2864";2864;64;12/02/2024;"16:55";475.50
1;"L1P20089C2514";2514;45;12/02/2024;"16:57";2039
1;"L1V20084C2957";2957;59;12/02/2024;"16:58";937.37
1;"L1V20093C462";462;64;12/02/2024;"16:59";104.30
1;"L1P20095C1021";1021;25;12/02/2024;"17:09";186.54
1;"L1P20094C2848";2848;25;12/02/2024;"17:30";198.60
1;"L1V20098C313";313;54;12/02/2024;"17:45";279.27
1;"L1P20099C249";249;25;12/02/2024;"17:49";2853.54
1;"L1P20081C715";715;64;12/02/2024;"18:03";414.06
1;"L1P20101C479";479;13;12/02/2024;"18:12";320.30
1;"L1V20107C348";348;15;12/02/2024;"18:25";447.04
1;"L1V20104C511";511;15;12/02/2024;"18:27";299.66
1;"L1P20108C2965";2965;2;12/03/2024;"10:01";4078.50
1;"L1V20109C931";931;15;12/03/2024;"10:19";271.20
1;"L1V20105C544";544;15;12/03/2024;"10:22";461.48
1;"L1P20100C2805";2805;25;12/03/2024;"10:24";79.74
1;"L1V20112C892";892;59;12/03/2024;"10:27";336.78
1;"L1V20111C3080";3080;53;12/03/2024;"10:28";225.02
1;"L1V20062C751";751;3;12/03/2024;"10:46";847.20
1;"L1V20115C2981";2981;15;12/03/2024;"11:05";413
1;"L1V20114C622";622;45;12/03/2024;"11:07";97.26
1;"L1V20113C2829";2829;15;12/03/2024;"11:08";155.88
1;"L1V20117C1";1;53;12/03/2024;"12:27";190.36
1;"L1V20122C73";73;53;12/03/2024;"12:35";288.96
1;"L1V20119C945";945;64;12/03/2024;"12:36";377.96
1;"L1P20118C1076";1076;25;12/03/2024;"12:43";707.54
1;"L1V20121C935";935;53;12/03/2024;"13:12";1072.10
1;"L1V20120C171";171;54;12/03/2024;"13:13";458.91
1;"L1V20125C2414";2414;54;12/03/2024;"15:23";265.93
1;"L1P20126C2977";2977;25;12/03/2024;"15:25";329
1;"L1V20078C2769";2769;64;12/03/2024;"15:38";912.26
1;"L1P20129C3004";3004;3;12/03/2024;"15:50";269.61
1;"L1P20130C254";254;3;12/03/2024;"16:06";1229.04
1;"L1V20131C1378";1378;15;12/03/2024;"16:12";254.35
1;"L1V20128C5";5;53;12/03/2024;"16:16";889.72
1;"L1V19812C820";820;54;12/03/2024;"16:18";777.24
1;"L1P20040C2935";2935;3;12/03/2024;"16:27";6732.45
1;"L1P20124C3011";3011;25;12/03/2024;"16:28";758.88
1;"L1P20138C2843";2843;25;12/03/2024;"16:35";74.90
1;"L1V20134C3036";3036;59;12/03/2024;"16:35";563.68
1;"L1P20139C1023";1023;3;12/03/2024;"16:46";253.10
1;"L1V20141C136";136;45;12/03/2024;"16:48";676.30
1;"L1V20133C81";81;53;12/03/2024;"16:49";330.30
1;"L1P20137C2617";2617;59;12/03/2024;"16:54";1055.80
1;"L1P20145C2735";2735;25;12/03/2024;"17:27";359.60
1;"L1V20147C1118";1118;15;12/03/2024;"17:28";198.20
1;"L1P20148C2715";2715;25;12/03/2024;"17:36";395.40
1;"L1P20143C219";219;25;12/03/2024;"17:38";1317.68
1;"L1V20146C1324";1324;15;12/03/2024;"17:45";327.50
