FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1V20080";1;1;0;0;0;0;0;"V";"5.102";"C";"S";"5";"S";"NS";0;0;0;0;7873;0
1;"L1P20079";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;2228.41;1
1;"L1V20081";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;238.60;1
1;"L1V20086";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;453.40;1
1;"L1P20083";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;595.90;1
1;"L1V20092";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;906.70;1
1;"L1V20087";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;728.78;1
1;"L1V19765";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;389.40;0;0;1
1;"L1P20085";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;475.50;1
1;"L1P20089";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;2039;1
1;"L1V20084";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;937.37;1
1;"L1V20093";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;104.30;1
1;"L1P20095";1;1;0;0;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";9.69;0;0;0;176.85;1
1;"L1P20094";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;198.60;0;0;1
1;"L1V20098";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;279.27;1
1;"L1P20099";1;1;0;0.00;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;2853.54;0;0;1
1;"L1P20081";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;414.06;1
1;"L1P20101";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;320.30;1
1;"L1V20107";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;447.04;0;0;1
1;"L1V20104";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;299.66;1
1;"L1P20108";1;1;0;0;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";0;0;4078.50;0;0;1
1;"L1V20109";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;271.20;1
1;"L1V20105";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;461.48;1
1;"L1P20100";1;1;0;47.00;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;79.74;0;0;1
1;"L1V20112";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;336.78;1
1;"L1V20111";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;225.02;1
1;"L1V20062";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;847.20;0;0;1
1;"L1V20115";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;413;1
1;"L1V20114";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;97.26;1
1;"L1V20113";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;155.88;1
1;"L1V20117";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;190.36;1
1;"L1V20122";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;288.96;1
1;"L1V20119";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;377.96;1
1;"L1P20118";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;707.54;1
1;"L1V20121";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1072.10;1
1;"L1V20120";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;458.91;1
1;"L1V20125";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;265.93;1
1;"L1P20126";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;329;1
1;"L1V20078";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;912.26;1
1;"L1P20129";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;269.61;0;0;1
1;"L1P20130";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1229.04;1
1;"L1V20131";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;254.35;1
1;"L1V20128";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;889.72;1
1;"L1V19812";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;777.24;1
1;"L1P20040";1;1;0;421.75;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";0;0;0;0;6732.45;1
1;"L1P20124";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;758.88;0;0;1
1;"L1P20138";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;74.90;0;0;1
1;"L1V20134";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;563.68;1
1;"L1P20139";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;253.10;1
1;"L1V20141";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;676.30;1
1;"L1V20133";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;330.30;1
1;"L1P20137";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1055.80;1
1;"L1P20145";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;359.60;0;0;1
1;"L1V20147";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;198.20;1
1;"L1P20148";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;395.40;1
1;"L1P20143";1;1;0;80.92;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";0;0;0;0;1317.68;1
1;"L1V20146";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;327.50;0;0;1
1;"L1P20149";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;461.30;0;0;1
1;"L1P20153";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;578.92;1
1;"L1P20151";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;422.50;1
1;"L1V20159";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;491.20;1
1;"L1P20157";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;790.27;1
1;"L1P20155";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;406.65;1
1;"L1P19937";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;369.63;1
1;"L1P20160";1;1;0;77.90;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;109.09;0;0;1
1;"L1V20161";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;202.35;1
1;"L1P20162";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1488.86;1
1;"L1P20166";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;658.60;0;0;1
1;"L1V20165";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;310.59;1
1;"L1V20167";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1014.35;1
1;"L1V20171";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;684.50;1
1;"L1P20170";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;388.90;1
1;"L1P20168";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;1388.28;0;0;1
1;"L1P20168";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;1388.28;0;0;1
1;"L1P20173";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;164.20;1
1;"L1P20176";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;133.30;1
1;"L1V20174";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;188.34;1
1;"L1P20178";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;376.10;1
1;"L1P20175";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;100.30;1
1;"L1P20187";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;560.70;1
1;"L1P20180";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;341;1
1;"L1P20179";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;105.84;1
1;"L1P20197";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;308.80;1
1;"L1P20172";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;1338.70;0;0;1
1;"L1P20221";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;231.40;1
1;"L1P20222";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;229.90;0;0;1
1;"L1V20217";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;546.90;1
1;"L1P19969";1;1;0;0;0;2.99;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;1670.10;0;0;1
1;"L1V20220";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;382.70;1
1;"L1P20223";1;1;0;86.72;0;0;0;"V";"6.102";"S";"S";"5";"V";"55";0;0;0;0;1433.67;1
1;"L1P20200";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;478.80;0;0;1
