IDPEDIDO;PCOD;QTDVENDA;VLVENDA;PCFOP;MFGES
"V20079C1298";180;1;65.13;"5102";"S"
"V20079C1298";181;1;65.12;"5102";"S"
"V20079C1298";184;1;65.12;"5102";"S"
"V20079C1298";182;1;65.12;"5102";"S"
"V20079C1298";3306;1;65.12;"5102";"S"
"V20079C1298";651;1;65.12;"5102";"S"
"V20079C1298";566;1;59.10;"5102";"S"
"V20079C1298";436;2;118.20;"5102";"S"
"V20079C1298";245;3;255.57;"5102";"S"
"V20079C1298";251;3;255.56;"5102";"S"
"V20079C1298";243;3;255.56;"5102";"S"
"V20079C1298";247;1;85.18;"5102";"S"
"V20079C1298";249;2;170.37;"5102";"S"
"V20079C1298";272;1;75.15;"5102";"S"
"V20079C1298";273;2;150.30;"5102";"S"
"V20079C1298";274;2;150.30;"5102";"S"
"V20079C1298";608;3;262.39;"5102";"S"
"V20081C2627";566;2;119.30;"5102";"S"
"V20081C2627";436;1;59.65;"5102";"S"
"V20081C2627";3201;1;59.65;"5102";"S"
"V20086C440";946;1;125.33;"5102";"S"
"V20086C440";1114;2;137.47;"5102";"S"
"V20086C440";221;1;95.30;"5102";"S"
"V20086C440";893;1;95.30;"5102";"S"
"V20083C812";482;2;84.30;"5102";"S"
"V20083C812";227;1;24.90;"5102";"S"
"V20083C812";773;2;71.80;"5102";"S"
"V20083C812";371;2;71.80;"5102";"S"
"V20083C812";774;2;71.80;"5102";"S"
"V20083C812";372;2;71.80;"5102";"S"
"V20083C812";373;2;71.80;"5102";"S"
"V20083C812";374;2;71.80;"5102";"S"
"V20083C812";375;1;55.90;"5102";"S"
"V20092C2937";36;2;58.09;"5102";"S"
"V20092C2937";651;6;379.29;"5102";"S"
"V20092C2937";2951;2;80.20;"5102";"S"
"V20092C2937";272;1;65.22;"5102";"S"
"V20092C2937";273;1;65.22;"5102";"S"
"V20092C2937";1156;6;258.68;"5102";"S"
"V20087C3032";36;1;33.04;"5102";"S"
"V20087C3032";37;1;33.04;"5102";"S"
"V20087C3032";40;1;33.04;"5102";"S"
"V20087C3032";413;1;42.08;"5102";"S"
"V20087C3032";417;1;42.08;"5102";"S"
"V20087C3032";568;1;42.08;"5102";"S"
"V20087C3032";569;1;42.07;"5102";"S"
"V20087C3032";2951;1;42.07;"5102";"S"
"V20087C3032";3112;1;42.07;"5102";"S"
"V20087C3032";3346;1;42.07;"5102";"S"
"V20087C3032";180;1;68.18;"5102";"S"
"V20087C3032";184;1;68.18;"5102";"S"
"V20087C3032";3305;1;68.18;"5102";"S"
"V20087C3032";890;1;65.30;"5102";"S"
"V20087C3032";891;1;65.30;"5102";"S"
"V19765C215";180;1;64.90;"5102";"S"
"V19765C215";181;1;64.90;"5102";"S"
"V19765C215";184;1;64.90;"5102";"S"
"V19765C215";593;1;64.90;"5102";"S"
"V19765C215";651;1;64.90;"5102";"S"
"V19765C215";3305;1;64.90;"5102";"S"
"V20085C2864";227;1;25.80;"5102";"S"
"V20085C2864";413;1;43.04;"5102";"S"
"V20085C2864";568;1;43.03;"5102";"S"
"V20085C2864";569;1;43.03;"5102";"S"
"V20085C2864";182;1;70.12;"5102";"S"
"V20085C2864";184;1;70.12;"5102";"S"
"V20085C2864";22;2;180.36;"5102";"S"
"V20089C2514";413;10;419.62;"5102";"S"
"V20089C2514";3112;10;419.62;"5102";"S"
"V20089C2514";178;2;119.98;"5102";"S"
"V20089C2514";180;10;599.89;"5102";"S"
"V20089C2514";181;2;119.97;"5102";"S"
"V20089C2514";3306;6;359.92;"5102";"S"
"V20084C2957";881;12;82.82;"5102";"S"
"V20084C2957";882;12;82.82;"5102";"S"
"V20084C2957";883;12;82.82;"5102";"S"
"V20084C2957";3159;2;113.19;"5102";"S"
"V20084C2957";376;2;55.81;"5102";"S"
"V20084C2957";510;1;86.71;"5102";"S"
"V20084C2957";513;1;86.40;"5102";"S"
"V20084C2957";667;1;78.89;"5102";"S"
"V20084C2957";649;2;97.91;"5102";"S"
"V20084C2957";355;1;85;"5102";"S"
"V20084C2957";356;1;85;"5102";"S"
"V20093C462";224;2;52.15;"5102";"S"
